DATE,CPI,UNRATE,FEDFUNDS,REALRATE,LFPART
1990-01-01,127.5,5.4,8.2,3.8,66.8
1990-02-01,128.0,5.3,8.2,3.4,66.7
1990-03-01,128.6,5.2,8.3,4.4,66.7
1990-04-01,128.9,5.4,8.3,4.5,66.6
1990-05-01,129.1,5.4,8.2,4.3,66.6
1990-06-01,129.9,5.2,8.3,3.7,66.4
1990-07-01,130.5,5.5,8.2,4.3,66.5
1990-08-01,131.6,5.7,8.1,3.9,66.5
1990-09-01,132.5,5.9,8.2,2.9,66.4
1990-10-01,133.4,5.9,8.1,2.6,66.4
1990-11-01,133.7,6.2,7.8,2.1,66.4
1990-12-01,134.2,6.3,7.3,2.1,66.4
1991-01-01,134.7,6.4,6.9,2.7,66.2
1991-02-01,134.8,6.6,6.2,3.0,66.2
1991-03-01,134.8,6.8,6.1,2.8,66.3
1991-04-01,135.1,6.7,5.9,3.4,66.4
1991-05-01,135.6,6.9,5.8,3.2,66.2
1991-06-01,136.0,6.9,5.9,3.0,66.2
1991-07-01,136.2,6.8,5.8,2.9,66.1
1991-08-01,136.6,6.9,5.7,2.7,66.0
1991-09-01,137.0,6.9,5.4,2.6,66.2
1991-10-01,137.2,7.0,5.2,2.2,66.1
1991-11-01,137.8,7.0,4.8,2.1,66.1
1991-12-01,138.2,7.3,4.4,1.6,66.0
1992-01-01,138.3,7.3,4.0,1.5,66.3
1992-02-01,138.6,7.4,4.1,1.5,66.2
1992-03-01,139.1,7.4,4.0,1.4,66.4
1992-04-01,139.4,7.4,3.7,1.7,66.5
1992-05-01,139.7,7.6,3.8,1.5,66.6
1992-06-01,140.1,7.8,3.8,1.3,66.7
1992-07-01,140.5,7.7,3.2,1.3,66.7
1992-08-01,140.8,7.6,3.3,1.1,66.6
1992-09-01,141.1,7.6,3.2,1.0,66.5
1992-10-01,141.7,7.3,3.1,0.7,66.2
1992-11-01,142.1,7.4,3.1,0.9,66.3
1992-12-01,142.3,7.4,2.9,1.1,66.3
1993-01-01,142.8,7.3,3.0,0.9,66.2
1993-02-01,143.1,7.1,3.0,0.8,66.2
1993-03-01,143.3,7.0,3.1,0.6,66.2
1993-04-01,143.8,7.1,3.0,0.7,66.1
1993-05-01,144.2,7.1,3.0,0.6,66.4
1993-06-01,144.3,7.0,3.0,1.3,66.5
1993-07-01,144.5,6.9,3.1,0.8,66.4
1993-08-01,144.8,6.8,3.0,0.9,66.4
1993-09-01,145.0,6.7,3.1,0.8,66.2
1993-10-01,145.6,6.8,3.0,0.5,66.3
1993-11-01,146.0,6.6,3.0,0.7,66.3
1993-12-01,146.3,6.5,3.0,0.9,66.4
1994-01-01,146.3,6.6,3.0,0.9,66.6
1994-02-01,146.7,6.6,3.2,0.8,66.6
1994-03-01,147.1,6.5,3.3,0.3,66.5
1994-04-01,147.2,6.4,3.6,1.3,66.5
1994-05-01,147.5,6.1,4.0,1.6,66.6
1994-06-01,147.9,6.1,4.2,1.3,66.4
1994-07-01,148.4,6.1,4.3,1.5,66.4
1994-08-01,149.0,6.0,4.5,2.0,66.6
1994-09-01,149.3,5.9,4.7,2.0,66.6
1994-10-01,149.4,5.8,4.8,2.0,66.7
1994-11-01,149.8,5.6,5.3,2.0,66.7
1994-12-01,150.1,5.5,5.4,2.0,66.7
1995-01-01,150.5,5.6,5.5,2.3,66.8
1995-02-01,150.9,5.4,5.9,2.3,66.8
1995-03-01,151.2,5.4,6.0,2.2,66.7
1995-04-01,151.8,5.8,6.0,2.4,66.9
1995-05-01,152.1,5.6,6.0,3.7,66.5
1995-06-01,152.4,5.6,6.0,3.1,66.5
1995-07-01,152.6,5.7,5.8,2.4,66.6
1995-08-01,152.9,5.7,5.7,2.5,66.6
1995-09-01,153.1,5.6,5.8,2.2,66.6
1995-10-01,153.5,5.5,5.8,2.5,66.6
1995-11-01,153.7,5.6,5.8,2.3,66.5
1995-12-01,153.9,5.6,5.6,3.1,66.4
1996-01-01,154.7,5.6,5.6,2.4,66.4
1996-02-01,155.0,5.5,5.2,2.1,66.6
1996-03-01,155.5,5.5,5.3,2.6,66.6
1996-04-01,156.1,5.6,5.2,2.6,66.7
1996-05-01,156.4,5.6,5.2,2.3,66.7
