DATE,CPI,INFLATION,UNRATE,REALRATE,FEDFUNDS,LFPART
1947-01-01,21.5,,,,,
1947-02-01,21.6,,,,,
1947-03-01,22.0,,,,,
1947-04-01,22.0,,,,,
1947-05-01,22.0,,,,,
1947-06-01,22.1,,,,,
1947-07-01,22.2,,,,,
1947-08-01,22.4,,,,,
1947-09-01,22.8,,,,,
1947-10-01,22.9,,,,,
1947-11-01,23.1,,,,,
1947-12-01,23.4,,,,,
1948-01-01,23.7,10.2,3.4,,,58.6
1948-02-01,23.7,9.5,3.8,,,58.9
1948-03-01,23.5,6.8,4.0,,,58.5
1948-04-01,23.8,8.3,3.9,,,59.0
1948-05-01,24.0,9.4,3.5,,,58.3
1948-06-01,24.2,9.4,3.6,,,59.2
1948-07-01,24.4,9.8,3.6,,,59.3
1948-08-01,24.4,9.1,3.9,,,58.9
1948-09-01,24.4,6.7,3.8,,,58.9
1948-10-01,24.3,6.1,3.7,,,58.7
1948-11-01,24.2,4.8,3.8,,,58.7
1948-12-01,24.0,2.7,4.0,,,59.1
1949-01-01,24.0,1.4,4.3,,,58.7
1949-02-01,23.9,1.0,4.7,,,59.0
1949-03-01,23.9,1.7,5.0,,,58.9
1949-04-01,23.9,0.4,5.3,,,58.8
1949-05-01,23.9,-0.4,6.1,,,59.0
1949-06-01,23.9,-1.0,6.2,,,58.6
1949-07-01,23.7,-2.9,6.7,,,58.9
1949-08-01,23.7,-3.0,6.8,,,59.2
1949-09-01,23.8,-2.5,6.6,,,59.1
1949-10-01,23.7,-2.6,7.9,,,59.6
1949-11-01,23.7,-1.9,6.4,,,59.4
1949-12-01,23.6,-1.8,6.6,,,59.2
1950-01-01,23.5,-2.1,6.5,,,58.9
1950-02-01,23.6,-1.3,6.4,,,58.9
1950-03-01,23.6,-1.1,6.3,,,58.8
1950-04-01,23.6,-1.1,5.8,,,59.2
1950-05-01,23.8,-0.6,5.5,,,59.1
1950-06-01,23.9,-0.2,5.4,,,59.4
1950-07-01,24.1,1.6,5.0,,,59.1
1950-08-01,24.2,2.1,4.5,,,59.5
1950-09-01,24.3,2.5,4.4,,,59.2
1950-10-01,24.5,3.5,4.2,,,59.4
1950-11-01,24.6,3.8,4.2,,,59.3
1950-12-01,25.0,5.8,4.3,,,59.2
1951-01-01,25.4,8.0,3.7,,,59.1
1951-02-01,25.8,9.4,3.4,,,59.1
1951-03-01,25.9,9.5,3.4,,,59.8
1951-04-01,25.9,9.6,3.1,,,59.1
