DATE,GDP
1947-01-01,2182.7
1947-04-01,2176.9
1947-07-01,2172.4
1947-10-01,2206.5
1948-01-01,2239.7
1948-04-01,2276.7
1948-07-01,2289.8
1948-10-01,2292.4
1949-01-01,2260.8
1949-04-01,2253.1
1949-07-01,2276.4
1949-10-01,2257.4
1950-01-01,2346.1
1950-04-01,2417.7
1950-07-01,2511.1
1950-10-01,2559.2
1951-01-01,2594.0
1951-04-01,2638.9
1951-07-01,2693.3
1951-10-01,2699.2
1952-01-01,2728.0
1952-04-01,2733.8
1952-07-01,2753.5
1952-10-01,2843.9
1953-01-01,2896.8
1953-04-01,2919.2
1953-07-01,2902.8
1953-10-01,2858.8
1954-01-01,2845.2
1954-04-01,2848.3
1954-07-01,2880.5
1954-10-01,2936.9
1955-01-01,3020.7
1955-04-01,3069.9
1955-07-01,3111.4
1955-10-01,3130.1
1956-01-01,3117.9
1956-04-01,3143.7
1956-07-01,3140.9
1956-10-01,3192.6
1957-01-01,3213.0
1957-04-01,3206.0
1957-07-01,3237.4
1957-10-01,3203.9
1958-01-01,3120.7
1958-04-01,3141.2
1958-07-01,3213.9
1958-10-01,3289.0
1959-01-01,3352.1
1959-04-01,3427.7
1959-07-01,3430.1
1959-10-01,3439.8
1960-01-01,3517.2
1960-04-01,3498.2
1960-07-01,3515.4
1960-10-01,3470.3
1961-01-01,3493.7
1961-04-01,3553.0
1961-07-01,3621.3
1961-10-01,3692.3
1962-01-01,3758.1
1962-04-01,3792.1
1962-07-01,3838.8
1962-10-01,3851.4
1963-01-01,3893.5
1963-04-01,3937.2
1963-07-01,4023.8
1963-10-01,4050.1
1964-01-01,4135.6
1964-04-01,4180.6
1964-07-01,4245.9
1964-10-01,4259.0
1965-01-01,4362.1
1965-04-01,4417.2
1965-07-01,4515.4
1965-10-01,4619.5
1966-01-01,4731.9
1966-04-01,4748.0
1966-07-01,4788.3
1966-10-01,4827.5
1967-01-01,4870.3
1967-04-01,4873.3
1967-07-01,4919.4
1967-10-01,4956.5
1968-01-01,5057.6
1968-04-01,5142.0
1968-07-01,5181.9
1968-10-01,5202.2
1969-01-01,5283.6
1969-04-01,5299.6
1969-07-01,5334.6
1969-10-01,5308.6
1970-01-01,5300.7
1970-04-01,5308.2
1970-07-01,5357.1
1970-10-01,5299.7
1971-01-01,5443.6
1971-04-01,5473.1
