Year,Month,GDP,CPI,UNRATE,FEDFUNDS
1948,1,2239.7,23.7,3.4,
1948,4,2276.7,23.8,3.9,
1948,7,2289.8,24.4,3.6,
1948,10,2292.4,24.3,3.7,
1949,1,2260.8,24.0,4.3,
1949,4,2253.1,23.9,5.3,
1949,7,2276.4,23.7,6.7,
1949,10,2257.4,23.7,7.9,
1950,1,2346.1,23.5,6.5,
1950,4,2417.7,23.6,5.8,
1950,7,2511.1,24.1,5.0,
1950,10,2559.2,24.5,4.2,
1951,1,2594.0,25.4,3.7,
1951,4,2638.9,25.9,3.1,
1951,7,2693.3,25.9,3.1,
1951,10,2699.2,26.2,3.5,
1952,1,2728.0,26.4,3.2,
1952,4,2733.8,26.5,2.9,
1952,7,2753.5,26.7,3.2,
1952,10,2843.9,26.7,3.0,
1953,1,2896.8,26.6,2.9,
1953,4,2919.2,26.7,2.7,
1953,7,2902.8,26.8,2.6,
1953,10,2858.8,27.0,3.1,
1954,1,2845.2,26.9,4.9,
1954,4,2848.3,26.9,5.9,
1954,7,2880.5,26.9,5.8,0.8
1954,10,2936.9,26.7,5.7,0.8
1955,1,3020.7,26.8,4.9,1.4
1955,4,3069.9,26.8,4.7,1.4
1955,7,3111.4,26.8,4.0,1.7
1955,10,3130.1,26.8,4.3,2.2
1956,1,3117.9,26.8,4.0,2.4
1956,4,3143.7,26.9,4.0,2.6
1956,7,3140.9,27.3,4.4,2.8
1956,10,3192.6,27.5,3.9,3.0
1957,1,3213.0,27.7,4.2,2.8
1957,4,3206.0,27.9,3.9,3.0
1957,7,3237.4,28.2,4.2,3.0
1957,10,3203.9,28.3,4.5,3.5
1958,1,3120.7,28.6,5.8,2.7
1958,4,3141.2,28.9,7.4,1.3
1958,7,3213.9,28.9,7.5,0.7
1958,10,3289.0,28.9,6.7,1.8
1959,1,3352.1,29.0,6.0,2.5
1959,4,3427.7,29.0,5.2,3.0
1959,7,3430.1,29.2,5.1,3.5
1959,10,3439.8,29.4,5.7,4.0
1960,1,3517.2,29.4,5.2,4.0
1960,4,3498.2,29.5,5.2,3.9
1960,7,3515.4,29.6,5.5,3.2
1960,10,3470.3,29.8,6.1,2.5
1961,1,3493.7,29.8,6.6,1.4
1961,4,3553.0,29.8,7.0,1.5
1961,7,3621.3,29.9,7.0,1.2
1961,10,3692.3,30.0,6.5,2.3
1962,1,3758.1,30.0,5.8,2.2
1962,4,3792.1,30.2,5.6,2.8
1962,7,3838.8,30.2,5.4,2.7
1962,10,3851.4,30.4,5.4,2.9
1963,1,3893.5,30.4,5.7,2.9
1963,4,3937.2,30.5,5.7,2.9
1963,7,4023.8,30.7,5.6,3.0
1963,10,4050.1,30.8,5.5,3.5
1964,1,4135.6,30.9,5.6,3.5
1964,4,4180.6,31.0,5.3,3.5
1964,7,4245.9,31.0,4.9,3.4
1964,10,4259.0,31.1,5.1,3.4
1965,1,4362.1,31.3,4.9,3.9
1965,4,4417.2,31.4,4.8,4.1
1965,7,4515.4,31.6,4.4,4.1
1965,10,4619.5,31.6,4.2,4.1
1966,1,4731.9,31.9,4.0,4.4
1966,4,4748.0,32.3,3.8,4.7
1966,7,4788.3,32.4,3.8,5.3
1966,10,4827.5,32.8,3.7,5.5
1967,1,4870.3,32.9,3.9,4.9
1967,4,4873.3,33.1,3.8,4.0
1967,7,4919.4,33.4,3.8,3.8
1967,10,4956.5,33.7,4.0,3.9
1968,1,5057.6,34.1,3.7,4.6
1968,4,5142.0,34.4,3.5,5.8
1968,7,5181.9,34.9,3.7,6.0
1968,10,5202.2,35.3,3.4,5.9
1969,1,5283.6,35.7,3.4,6.3
1969,4,5299.6,36.3,3.4,7.4
1969,7,5334.6,36.8,3.5,8.6
1969,10,5308.6,37.3,3.7,9.0
1970,1,5300.7,37.9,3.9,9.0
1970,4,5308.2,38.5,4.6,8.1
1970,7,5357.1,38.9,5.0,7.2
1970,10,5299.7,39.4,5.5,6.2
1971,1,5443.6,39.9,5.9,4.1
1971,4,5473.1,40.1,5.9,4.2
1971,7,5518.1,40.6,6.0,5.3
1971,10,5531.0,40.9,5.8,5.2
1972,1,5632.6,41.2,5.8,3.5
1972,4,5760.5,41.5,5.7,4.2
1972,7,5814.9,41.8,5.6,4.6
1972,10,5912.2,42.2,5.6,5.0
1973,1,6058.5,42.7,4.9,5.9
1973,4,6124.5,43.7,5.0,7.1
1973,7,6092.3,44.2,4.8,10.4
1973,10,6150.1,45.6,4.6,10.0
1974,1,6097.3,46.8,5.1,9.6
1974,4,6111.8,48.1,5.1,10.5
1974,7,6054.0,49.3,5.5,12.9
1974,10,6030.5,51.0,6.0,10.1
1975,1,5957.0,52.3,8.1,7.1
1975,4,5999.6,53.0,8.8,5.5
1975,7,6102.3,54.0,8.6,6.1
1975,10,6184.5,54.9,8.4,5.8
1976,1,6323.6,55.8,7.9,4.9
1976,4,6370.0,56.1,7.7,4.8
1976,7,6404.9,57.0,7.8,5.3
1976,10,6451.2,57.9,7.7,5.0
1977,1,6527.7,58.7,7.5,4.6
1977,4,6654.5,60.0,7.2,4.7
1977,7,6774.5,60.8,6.9,5.4
1977,10,6774.6,61.6,6.8,6.5
1978,1,6796.3,62.7,6.4,6.7
1978,4,7058.9,63.9,6.1,6.9
1978,7,7129.9,65.5,6.2,7.8
1978,10,7225.8,67.1,5.8,9.0
1979,1,7238.7,68.5,5.9,10.1
1979,4,7246.5,70.6,5.8,10.0
1979,7,7300.3,73.0,5.7,10.5
1979,10,7318.5,75.2,6.0,13.8
1980,1,7341.6,78.0,6.3,13.8
1980,4,7190.3,80.9,6.9,17.6
1980,7,7181.7,82.6,7.8,9.0
1980,10,7315.7,84.7,7.5,12.8
1981,1,7459.0,87.2,7.5,19.1
1981,4,7403.7,89.1,7.2,15.7
1981,7,7492.4,91.5,7.2,19.0
1981,10,7410.8,93.4,7.9,15.1
1982,1,7295.6,94.4,8.6,13.2
1982,4,7328.9,95.0,9.3,14.9
1982,7,7300.9,97.5,9.8,12.6
1982,10,7303.8,98.1,10.4,9.7
1983,1,7400.1,97.9,10.4,8.7
1983,4,7568.5,98.8,10.2,8.8
1983,7,7719.7,99.8,9.4,9.4
1983,10,7880.8,100.8,8.8,9.5
1984,1,8034.8,102.1,8.0,9.6
1984,4,8173.7,103.3,7.7,10.3
1984,7,8252.5,104.1,7.5,11.2
1984,10,8320.2,105.1,7.4,10.0
1985,1,8400.8,105.7,7.3,8.4
1985,4,8474.8,107.0,7.3,8.3
1985,7,8604.2,107.7,7.4,7.9
1985,10,8668.2,108.5,7.1,8.0
1986,1,8749.1,109.9,6.7,8.1
1986,4,8788.5,108.7,7.1,7.0
1986,7,8872.6,109.5,7.0,6.6
1986,10,8920.2,110.2,7.0,5.8
1987,1,8986.4,111.4,6.6,6.4
1987,4,9083.3,112.7,6.3,6.4
1987,7,9162.0,113.8,6.1,6.6
1987,10,9319.3,115.0,6.0,7.3
1988,1,9367.5,116.0,5.7,6.8
1988,4,9490.6,117.2,5.4,6.9
1988,7,9546.2,118.5,5.4,7.8
1988,10,9673.4,119.9,5.4,8.3
1989,1,9771.7,121.2,5.4,9.1
1989,4,9846.3,123.1,5.2,9.8
1989,7,9919.2,124.5,5.2,9.2
1989,10,9938.8,125.4,5.3,8.8
1990,1,10047.4,127.5,5.4,8.2
