Date,NASDAQ
2020-01-02,9092.2
2020-01-03,9020.8
2020-01-06,9071.5
2020-01-07,9068.6
2020-01-08,9129.2
2020-01-09,9203.4
2020-01-10,9178.9
2020-01-13,9273.9
2020-01-14,9251.3
2020-01-15,9258.7
2020-01-16,9357.1
2020-01-17,9388.9
2020-01-21,9370.8
2020-01-22,9383.8
2020-01-23,9402.5
2020-01-24,9314.9
2020-01-27,9139.3
2020-01-28,9269.7
2020-01-29,9275.2
2020-01-30,9298.9
2020-01-31,9150.9
2020-02-03,9273.4
2020-02-04,9468.0
2020-02-05,9508.7
2020-02-06,9572.2
2020-02-07,9520.5
2020-02-10,9628.4
2020-02-11,9638.9
2020-02-12,9726.0
2020-02-13,9712.0
2020-02-14,9731.2
2020-02-18,9732.7
2020-02-19,9817.2
2020-02-20,9751.0
2020-02-21,9576.6
2020-02-24,9221.3
2020-02-25,8965.6
2020-02-26,8980.8
2020-02-27,8566.5
2020-02-28,8567.4
2020-03-02,8952.2
2020-03-03,8684.1
2020-03-04,9018.1
2020-03-05,8738.6
2020-03-06,8575.6
2020-03-09,7950.7
2020-03-10,8344.2
2020-03-11,7952.0
2020-03-12,7201.8
2020-03-13,7874.9
2020-03-16,6904.6
2020-03-17,7334.8
2020-03-18,6989.8
2020-03-19,7150.6
2020-03-20,6879.5
2020-03-23,6860.7
2020-03-24,7417.9
2020-03-25,7384.3
2020-03-26,7797.5
2020-03-27,7502.4
2020-03-30,7774.1
2020-03-31,7700.1
2020-04-01,7360.6
2020-04-02,7487.3
2020-04-03,7373.1
2020-04-06,7913.2
2020-04-07,7887.3
2020-04-08,8090.9
2020-04-09,8153.6
2020-04-13,8192.4
2020-04-14,8515.7
2020-04-15,8393.2
2020-04-16,8532.4
2020-04-17,8650.1
2020-04-20,8560.7
2020-04-21,8263.2
2020-04-22,8495.4
2020-04-23,8494.8
2020-04-24,8634.5
2020-04-27,8730.2
2020-04-28,8607.7
2020-04-29,8914.7
2020-04-30,8889.5
2020-05-01,8605.0
2020-05-04,8710.7
2020-05-05,8809.1
2020-05-06,8854.4
2020-05-07,8979.7
2020-05-08,9121.3
2020-05-11,9192.3
2020-05-12,9002.5
2020-05-13,8863.2
2020-05-14,8943.7
2020-05-15,9014.6
2020-05-18,9234.8
2020-05-19,9185.1
2020-05-20,9375.8
2020-05-21,9284.9
2020-05-22,9324.6
2020-05-26,9340.2
2020-05-27,9412.4
2020-05-28,9369.0
2020-05-29,9489.9
2020-06-01,9552.0
2020-06-02,9608.4
2020-06-03,9682.9
2020-06-04,9615.8
2020-06-05,9814.1
2020-06-08,9924.8
2020-06-09,9953.8
2020-06-10,10020.3
2020-06-11,9492.7
2020-06-12,9588.8
2020-06-15,9726.0
2020-06-16,9895.9
2020-06-17,9910.5
2020-06-18,9943.0
2020-06-19,9946.1
2020-06-22,10056.5
2020-06-23,10131.4
2020-06-24,9909.2
2020-06-25,10017.0
2020-06-26,9757.2
2020-06-29,9874.2
2020-06-30,10058.8
2020-07-01,10154.6
2020-07-02,10207.6
2020-07-06,10433.7
2020-07-07,10343.9
2020-07-08,10492.5
2020-07-09,10547.8
2020-07-10,10617.4
2020-07-13,10390.8
2020-07-14,10488.6
2020-07-15,10550.5
2020-07-16,10473.8
2020-07-17,10503.2
2020-07-20,10767.1
2020-07-21,10680.4
2020-07-22,10706.1
2020-07-23,10461.4
2020-07-24,10363.2
2020-07-27,10536.3
2020-07-28,10402.1
2020-07-29,10542.9
2020-07-30,10587.8
2020-07-31,10745.3
2020-08-03,10902.8
2020-08-04,10941.2
2020-08-05,10998.4
2020-08-06,11108.1
2020-08-07,11011.0
2020-08-10,10968.4
2020-08-11,10782.8
2020-08-12,11012.2
2020-08-13,11042.5
2020-08-14,11019.3
2020-08-17,11129.7
2020-08-18,11210.8
