Municipality,Population
Oslo,717710
Bergen,291940
Trondheim ,214565
Stavanger,149048
Bærum,130921
Kristiansand,116986
Drammen,104487
Asker,98815
Lillestrøm,94201
Fredrikstad,85230
Sandnes,83702
Tromsø,78745
Sandefjord,66231
Nordre Follo,63560
Sarpsborg,59771
Tønsberg,59174
Ålesund,58509
Skien,56619
Bodø,53712
Moss,52051
Larvik,48715
Lørenskog,48188
Indre Østfold,47006
Arendal,46355
Ullensaker,43814
Karmøy,43306
Øygarden,39768
Haugesund,38292
Porsgrunn,37193
Ringsaker,35612
Hamar,32879
Molde,32816
Ringerike,31581
Gjøvik,30903
Askøy,30145
Alver,29986
Kongsberg,28848
Lillehammer,28768
Sola,28685
Lier,28470
Horten,27939
Eidsvoll,27916
Færder,27501
Holmestrand,26872
Bjørnafjorden,26080
Rana ,25994
Nittedal,25882
Harstad ,25056
Grimstad,24969
Stjørdal,24717
Nes,24645
Kristiansund,24404
Steinkjer,24032
Lindesnes,23690
Sunnfjord,22450
Ås,22005
Elverum,21761
Alta,21708
Stange,21605
Narvik,21580
Klepp,20900
Øvre Eiker,20779
Levanger ,20574
Nesodden,20521
Rælingen,20099
Time,19910
Hå,19827
Vestby,19493
Stord,19287
Orkland,18793
Kongsvinger,18058
Aurskog,18058
Melhus,17560
Kinn,17349
Voss,16471
Frogn,16244
Nannestad,16126
Vennesla,15452
Eigersund,15221
Verdal,15193
Namsos ,15083
Senja,14894
Østre Toten,14840
Malvik,14783
Modum,14665
Bamble,14269
Strand,13703
Vestre Toten,13691
Gran,13593
Vefsn,13469
Hustadvika,13437
Notodden,13266
Kvinnherad,13089
Gjesdal,12362
Sogndal,12319
Bømlo,12268
Randaberg,11742
Vestvågøy,11619
Tysvær,11570
Lillesand,11523
Enebakk,11482
Hammerfest ,11338
Volda,11093
Ullensvang,11017
Ørsta,10958
Midt,10904
Lyngdal,10835
Sortland ,10618
Ørland,10522
Kragerø,10445
Sør,10063
Indre Fosen,10023
Nærøysund,9968
Farsund,9876
Fauske ,9827
Vågan,9793
Sula,9720
Stad,9610
Haram,9357
Lunner,9357
Flekkefjord,9279
Herøy (Møre og Romsdal),8968
Vindafjord,8938
Ulstein,8861
Giske,8691
Kvam,8496
Skaun,8484
Rakkestad,8420
Hadsel,8236
Osterøy,8200
Sør,8112
Løten,7929
Råde,7883
Brønnøy,7826
Sykkylven,7617
Alstahaug,7421
Gjerdrum,7398
Oppdal,7389
Åsnes,7339
Rauma,7299
Stryn,7271
Sunndal,7227
Vestnes,7147
Jevnaker,7037
Hole,6989
Inderøy,6938
Risør,6825
Målselv,6714
Trysil,6566
Nord,6562
Nome,6539
Nordre Land,6510
Tvedestrand,6323
Froland,6236
Kvinesdal,6192
Meløy,6180
Gausdal,6177
Våler (Østfold),6145
Midtre Gauldal,6140
Heim,6093
Eidskog,6040
Averøy,5955
Surnadal,5953
Gloppen,5926
Vadsø,5807
Sel,5756
Sveio,5742
Tynset,5692
Røros ,5685
Søndre Land,5587
Nord,5586
Balsfjord,5571
Tinn,5533
Birkenes,5480
Frøya,5453
Luster,5371
Hitra,5323
Hareid,5322
Austevoll,5300
Årdal,5239
Øyer,5124
Ål,5007
Nord,4992
Gol,4986
Saltdal,4880
Nordreisa ,4794
Hvaler,4787
Sauda,4572
Øksnes,4569
Andøy,4553
Grue,4532
Hol,4496
Hemnes,4485
Ringebu,4413
Stranda,4348
Åfjord,4339
Åmot,4289
Dielddanuorri ,4281
Selbu,4216
Drangedal,4086
Etne,4072
Bardu,3986
Evje og Hornnes,3967
Overhalla,3924
Skiptvet,3919
Suldal,3889
Porsanger ,3889
Høyanger,3879
Vaksdal,3852
Vinje,3851
Aukra,3678
Marker,3658
Våler (Innlandet),3615
Vågå,3531
Sigdal,3526
Sørreisa,3485
Aure,3408
Bremanger,3392
Sokndal,3347
Nesbyen,3301
Øystre Slidre,3298
Lund,3226
Fitjar,3203
Sør,3119
Hurdal,3041
Tingvoll,3041
Vanylven,3026
Askvoll,2986
Seljord,2979
Nordkapp,2951
Tysnes,2922
Bjerkreim,2892
Austrheim,2881
Fjaler,2869
Guovdageaidnu ,2848
Kvæfjord,2845
Sør,2836
Deatnu ,2807
Skjervøy,2794
