Date,Price
1980-12-12,0.0989
1980-12-15,0.0938
1980-12-16,0.0869
1980-12-17,0.089
1980-12-18,0.0916
1980-12-19,0.0972
1980-12-22,0.102
1980-12-23,0.1063
1980-12-24,0.1118
1980-12-26,0.1222
1980-12-29,0.1239
1980-12-30,0.1209
1980-12-31,0.1174
1981-01-02,0.1187
1981-01-05,0.1162
1981-01-06,0.111
1981-01-07,0.1063
1981-01-08,0.1041
1981-01-09,0.1097
1981-01-12,0.1088
1981-01-13,0.105
1981-01-14,0.1054
1981-01-15,0.1075
1981-01-16,0.1067
1981-01-19,0.1131
1981-01-20,0.1097
1981-01-21,0.1118
1981-01-22,0.1131
1981-01-23,0.1127
1981-01-26,0.111
1981-01-27,0.1101
1981-01-28,0.1067
1981-01-29,0.1028
1981-01-30,0.0972
1981-02-02,0.0916
1981-02-03,0.0951
1981-02-04,0.0985
1981-02-05,0.0985
1981-02-06,0.0989
1981-02-09,0.0938
1981-02-10,0.0938
1981-02-11,0.0908
1981-02-12,0.0899
1981-02-13,0.0878
1981-02-17,0.0899
1981-02-18,0.0938
1981-02-19,0.0882
1981-02-20,0.0835
1981-02-23,0.0847
1981-02-24,0.0817
1981-02-25,0.0869
1981-02-26,0.0882
1981-02-27,0.0912
1981-03-02,0.0916
1981-03-03,0.0903
1981-03-04,0.0895
1981-03-05,0.089
1981-03-06,0.0882
1981-03-09,0.0813
1981-03-10,0.0774
1981-03-11,0.0744
1981-03-12,0.0774
1981-03-13,0.0766
1981-03-16,0.0796
1981-03-17,0.0835
1981-03-18,0.0886
1981-03-19,0.0878
1981-03-20,0.0886
1981-03-23,0.0921
1981-03-24,0.0916
1981-03-25,0.0899
1981-03-26,0.0882
1981-03-27,0.0852
1981-03-30,0.0852
1981-03-31,0.0843
1981-04-01,0.0835
1981-04-02,0.0908
1981-04-03,0.0912
1981-04-06,0.0895
1981-04-07,0.0886
1981-04-08,0.0929
1981-04-09,0.0946
1981-04-10,0.0959
1981-04-13,0.0959
1981-04-14,0.0959
1981-04-15,0.0912
1981-04-16,0.086
1981-04-20,0.0886
1981-04-21,0.0946
1981-04-22,0.0981
1981-04-23,0.1007
1981-04-24,0.0998
1981-04-27,0.0989
1981-04-28,0.0972
1981-04-29,0.0959
1981-04-30,0.0977
1981-05-01,0.0977
1981-05-04,0.0972
1981-05-05,0.0968
1981-05-06,0.0942
1981-05-07,0.0955
1981-05-08,0.0964
1981-05-11,0.0942
1981-05-12,0.0942
1981-05-13,0.0938
1981-05-14,0.0925
1981-05-15,0.0946
1981-05-18,0.0964
1981-05-19,0.0946
1981-05-20,0.0977
1981-05-21,0.1032
1981-05-22,0.108
1981-05-26,0.1075
1981-05-27,0.1136
1981-05-28,0.1136
1981-05-29,0.114
1981-06-01,0.114
1981-06-02,0.1084
1981-06-03,0.1084
1981-06-04,0.1106
1981-06-05,0.1088
1981-06-08,0.105
1981-06-09,0.1071
1981-06-10,0.1084
1981-06-11,0.1131
1981-06-12,0.1118
1981-06-15,0.1114
1981-06-16,0.1093
1981-06-17,0.1075
1981-06-18,0.1071
1981-06-19,0.1041
1981-06-22,0.1002
1981-06-23,0.102
1981-06-24,0.0994
1981-06-25,0.1015
1981-06-26,0.1002
1981-06-29,0.0968
1981-06-30,0.0895
1981-07-01,0.0886
1981-07-02,0.0886
1981-07-06,0.0856
1981-07-07,0.0865
1981-07-08,0.0899
1981-07-09,0.083
1981-07-10,0.0766
1981-07-13,0.0783
1981-07-14,0.0817
1981-07-15,0.0839
1981-07-16,0.086
1981-07-17,0.089
1981-07-20,0.083
1981-07-21,0.0826
1981-07-22,0.0779
1981-07-23,0.08
1981-07-24,0.0826
1981-07-27,0.086
1981-07-28,0.083
1981-07-29,0.0817
1981-07-30,0.0847
1981-07-31,0.086
1981-08-03,0.0852
1981-08-04,0.0865
1981-08-05,0.089
1981-08-06,0.0869
1981-08-07,0.0869
1981-08-10,0.0869
1981-08-11,0.0843
1981-08-12,0.0826
1981-08-13,0.08
1981-08-14,0.0787
1981-08-17,0.0761
1981-08-18,0.0744
1981-08-19,0.0736
1981-08-20,0.0744
1981-08-21,0.0693
1981-08-24,0.065
1981-08-25,0.0667
1981-08-26,0.0654
1981-08-27,0.0658
1981-08-28,0.0693
1981-08-31,0.0693
1981-09-01,0.0736
1981-09-02,0.0749
1981-09-03,0.071
1981-09-04,0.0701
1981-09-08,0.068
1981-09-09,0.068
1981-09-10,0.0684
1981-09-11,0.0675
1981-09-14,0.0654
1981-09-15,0.0637
1981-09-16,0.0624
1981-09-17,0.0607
1981-09-18,0.0611
1981-09-21,0.0615
1981-09-22,0.0581
1981-09-23,0.0568
1981-09-24,0.0564
1981-09-25,0.049
1981-09-28,0.0495
1981-09-29,0.0521
1981-09-30,0.0525
1981-10-01,0.0525
1981-10-02,0.0568
1981-10-05,0.0585
1981-10-06,0.0581
1981-10-07,0.0615
1981-10-08,0.0637
1981-10-09,0.0641
1981-10-12,0.0662
1981-10-13,0.0662
1981-10-14,0.0624
1981-10-15,0.0637
1981-10-16,0.0628
1981-10-19,0.0641
1981-10-20,0.0675
1981-10-21,0.0675
1981-10-22,0.0671
1981-10-23,0.0654
1981-10-26,0.0654
1981-10-27,0.0667
1981-10-28,0.0688
1981-10-29,0.068
1981-10-30,0.0688
1981-11-02,0.0688
1981-11-03,0.068
1981-11-04,0.0662
1981-11-05,0.0615
1981-11-06,0.0619
1981-11-09,0.0628
1981-11-10,0.0632
1981-11-11,0.065
1981-11-12,0.0671
1981-11-13,0.0624
1981-11-16,0.0615
1981-11-17,0.0628
1981-11-18,0.065
1981-11-19,0.065
1981-11-20,0.0654
1981-11-23,0.0624
1981-11-24,0.0619
1981-11-25,0.0632
1981-11-27,0.065
1981-11-30,0.0641
1981-12-01,0.0641
1981-12-02,0.0645
1981-12-03,0.0637
1981-12-04,0.0654
1981-12-07,0.0658
1981-12-08,0.0645
1981-12-09,0.065
1981-12-10,0.065
1981-12-11,0.0645
1981-12-14,0.0624
1981-12-15,0.0641
1981-12-16,0.0671
1981-12-17,0.0727
