Date,DJJA
2020-01-02,28868.8
2020-01-03,28634.9
2020-01-06,28703.4
2020-01-07,28583.7
2020-01-08,28745.1
2020-01-09,28956.9
2020-01-10,28823.8
2020-01-13,28907.1
2020-01-14,28939.7
2020-01-15,29030.2
2020-01-16,29297.6
2020-01-17,29348.1
2020-01-21,29196.0
2020-01-22,29186.3
2020-01-23,29160.1
2020-01-24,28989.7
2020-01-27,28535.8
2020-01-28,28722.8
2020-01-29,28734.4
2020-01-30,28859.4
2020-01-31,28256.0
2020-02-03,28399.8
2020-02-04,28807.6
2020-02-05,29290.8
2020-02-06,29379.8
2020-02-07,29102.5
2020-02-10,29276.8
2020-02-11,29276.3
2020-02-12,29551.4
2020-02-13,29423.3
2020-02-14,29398.1
2020-02-18,29232.2
2020-02-19,29348.0
2020-02-20,29220.0
2020-02-21,28992.4
2020-02-24,27960.8
2020-02-25,27081.4
2020-02-26,26957.6
2020-02-27,25766.6
2020-02-28,25409.4
2020-03-02,26703.3
2020-03-03,25917.4
2020-03-04,27090.9
2020-03-05,26121.3
2020-03-06,25864.8
2020-03-09,23851.0
2020-03-10,25018.2
2020-03-11,23553.2
2020-03-12,21200.6
2020-03-13,23185.6
2020-03-16,20188.5
2020-03-17,21237.4
2020-03-18,19898.9
2020-03-19,20087.2
2020-03-20,19174.0
2020-03-23,18591.9
2020-03-24,20704.9
2020-03-25,21200.6
2020-03-26,22552.2
2020-03-27,21636.8
2020-03-30,22327.5
2020-03-31,21917.2
2020-04-01,20943.5
2020-04-02,21413.4
2020-04-03,21052.5
2020-04-06,22680.0
2020-04-07,22653.9
2020-04-08,23433.6
2020-04-09,23719.4
2020-04-13,23390.8
2020-04-14,23949.8
2020-04-15,23504.3
2020-04-16,23537.7
2020-04-17,24242.5
2020-04-20,23650.4
2020-04-21,23018.9
2020-04-22,23475.8
2020-04-23,23515.3
2020-04-24,23775.3
2020-04-27,24133.8
2020-04-28,24101.6
2020-04-29,24633.9
2020-04-30,24345.7
2020-05-01,23723.7
2020-05-04,23749.8
2020-05-05,23883.1
2020-05-06,23664.6
2020-05-07,23875.9
2020-05-08,24331.3
2020-05-11,24222.0
2020-05-12,23764.8
2020-05-13,23248.0
2020-05-14,23625.3
2020-05-15,23685.4
2020-05-18,24597.4
2020-05-19,24206.9
2020-05-20,24575.9
2020-05-21,24474.1
2020-05-22,24465.2
2020-05-26,24995.1
2020-05-27,25548.3
2020-05-28,25400.6
2020-05-29,25383.1
2020-06-01,25475.0
2020-06-02,25742.7
2020-06-03,26269.9
2020-06-04,26281.8
2020-06-05,27111.0
2020-06-08,27572.4
2020-06-09,27272.3
2020-06-10,26990.0
2020-06-11,25128.2
2020-06-12,25605.5
2020-06-15,25763.2
2020-06-16,26290.0
2020-06-17,26119.6
2020-06-18,26080.1
2020-06-19,25871.5
2020-06-22,26025.0
2020-06-23,26156.1
2020-06-24,25445.9
2020-06-25,25745.6
2020-06-26,25015.6
2020-06-29,25595.8
2020-06-30,25812.9
2020-07-01,25735.0
2020-07-02,25827.4
2020-07-06,26287.0
2020-07-07,25890.2
2020-07-08,26067.3
2020-07-09,25706.1
2020-07-10,26075.3
2020-07-13,26085.8
2020-07-14,26642.6
2020-07-15,26870.1
2020-07-16,26734.7
2020-07-17,26671.9
2020-07-20,26680.9
2020-07-21,26840.4
2020-07-22,27005.8
2020-07-23,26652.3
2020-07-24,26469.9
2020-07-27,26584.8
2020-07-28,26379.3
2020-07-29,26539.6
2020-07-30,26313.7
2020-07-31,26428.3
2020-08-03,26664.4
2020-08-04,26828.5
2020-08-05,27201.5
2020-08-06,27387.0
2020-08-07,27433.5
2020-08-10,27791.4
2020-08-11,27686.9
2020-08-12,27976.8
2020-08-13,27896.7
2020-08-14,27931.0
2020-08-17,27844.9
2020-08-18,27778.1
2020-08-19,27692.9
2020-08-20,27739.7
2020-08-21,27930.3
2020-08-24,28308.5
2020-08-25,28248.4
2020-08-26,28331.9
2020-08-27,28492.3
2020-08-28,28653.9
2020-08-31,28430.1
2020-09-01,28645.7
2020-09-02,29100.5
2020-09-03,28292.7
2020-09-04,28133.3
2020-09-08,27500.9
2020-09-09,27940.5
2020-09-10,27534.6
