Date,Price
2004-08-19,2.493
2004-08-20,2.691
2004-08-23,2.7181
2004-08-24,2.6056
2004-08-25,2.6336
2004-08-26,2.6811
2004-08-27,2.6374
2004-08-30,2.5345
2004-08-31,2.5434
2004-09-01,2.4908
2004-09-02,2.5221
2004-09-03,2.4848
2004-09-07,2.5238
2004-09-08,2.5417
2004-09-09,2.542
2004-09-10,2.617
2004-09-13,2.6709
2004-09-14,2.77
2004-09-15,2.7827
2004-09-16,2.8317
2004-09-17,2.9191
2004-09-20,2.9656
2004-09-21,2.9278
2004-09-22,2.9412
2004-09-23,3.0018
2004-09-24,2.9773
2004-09-27,2.9382
2004-09-28,3.1519
2004-09-29,3.2568
2004-09-30,3.22
2004-10-01,3.294
2004-10-04,3.3557
2004-10-05,3.4379
2004-10-06,3.4058
2004-10-07,3.4498
2004-10-08,3.422
2004-10-11,3.3606
2004-10-12,3.4138
2004-10-13,3.5007
2004-10-14,3.5281
2004-10-15,3.5805
2004-10-18,3.706
2004-10-19,3.6757
2004-10-20,3.4906
2004-10-21,3.7114
2004-10-22,4.2841
2004-10-25,4.6561
2004-10-26,4.5169
2004-10-27,4.6205
2004-10-28,4.8027
2004-10-29,4.7366
2004-11-01,4.8705
2004-11-02,4.8417
2004-11-03,4.7622
2004-11-04,4.589
2004-11-05,4.2076
2004-11-08,4.2871
2004-11-09,4.1915
2004-11-10,4.1706
2004-11-11,4.5472
2004-11-12,4.5219
2004-11-15,4.5932
2004-11-16,4.2869
2004-11-17,4.2859
2004-11-18,4.1626
2004-11-19,4.2088
2004-11-22,4.102
2004-11-23,4.1621
2004-11-24,4.342
2004-11-26,4.4571
2004-11-29,4.4983
2004-11-30,4.5214
2004-12-01,4.4712
2004-12-02,4.4573
2004-12-03,4.4822
2004-12-06,4.38
2004-12-07,4.2593
2004-12-08,4.2233
2004-12-09,4.309
2004-12-10,4.2648
2004-12-13,4.2349
2004-12-14,4.4397
2004-12-15,4.4667
2004-12-16,4.3845
2004-12-17,4.4742
2004-12-20,4.5969
2004-12-21,4.5654
2004-12-22,4.6287
2004-12-23,4.6685
2004-12-27,4.7681
2004-12-28,4.7892
2004-12-29,4.7927
2004-12-30,4.9095
2004-12-31,4.79
2005-01-03,5.0365
2005-01-04,4.8325
2005-01-05,4.8079
2005-01-06,4.6846
2005-01-07,4.8163
2005-01-10,4.8464
2005-01-11,4.8086
2005-01-12,4.8543
2005-01-13,4.8531
2005-01-14,4.9684
2005-01-18,5.066
2005-01-19,4.902
2005-01-20,4.8181
2005-01-21,4.6779
2005-01-24,4.4901
2005-01-25,4.4007
2005-01-26,4.7018
2005-01-27,4.673
2005-01-28,4.7291
2005-01-31,4.8603
2005-02-01,4.7679
2005-02-02,5.1172
2005-02-03,5.2389
2005-02-04,5.0775
2005-02-07,4.8705
2005-02-08,4.9353
2005-02-09,4.7599
2005-02-10,4.6705
2005-02-11,4.6561
2005-02-14,4.795
2005-02-15,4.8506
2005-02-16,4.9296
2005-02-17,4.917
2005-02-18,4.9182
2005-02-22,4.7547
2005-02-23,4.8188
2005-02-24,4.6931
2005-02-25,4.6181
2005-02-28,4.6707
2005-03-01,4.6228
2005-03-02,4.6009
2005-03-03,4.6464
2005-03-04,4.6188
2005-03-07,4.6911
2005-03-08,4.6014
2005-03-09,4.5058
2005-03-10,4.4717
2005-03-11,4.4176
2005-03-14,4.3477
2005-03-15,4.4377
2005-03-16,4.3629
2005-03-17,4.4546
2005-03-18,4.4732
2005-03-21,4.4941
2005-03-22,4.4374
2005-03-23,4.4469
2005-03-24,4.4536
2005-03-28,4.5075
2005-03-29,4.4615
2005-03-30,4.4834
2005-03-31,4.4849
2005-04-01,4.4732
2005-04-04,4.6036
2005-04-05,4.6851
2005-04-06,4.7013
2005-04-07,4.8141
2005-04-08,4.7716
2005-04-11,4.8009
2005-04-12,4.8191
2005-04-13,4.7935
2005-04-14,4.7567
2005-04-15,4.5964
2005-04-18,4.6454
2005-04-19,4.7555
2005-04-20,4.9219
2005-04-21,5.074
2005-04-22,5.3619
2005-04-25,5.5537
2005-04-26,5.435
2005-04-27,5.4606
2005-04-28,5.4524
2005-04-29,5.466
2005-05-02,5.5229
2005-05-03,5.6198
2005-05-04,5.6772
2005-05-05,5.6395
2005-05-06,5.6653
2005-05-09,5.6156
2005-05-10,5.6598
2005-05-11,5.7465
2005-05-12,5.6827
2005-05-13,5.6956
2005-05-16,5.7406
2005-05-17,5.7923
2005-05-18,5.9421
2005-05-19,5.9426
2005-05-20,6.003
2005-05-23,6.3468
2005-05-24,6.3605
2005-05-25,6.48
2005-05-26,6.44
2005-05-27,6.6089
2005-05-31,6.8889
2005-06-01,7.1555
2005-06-02,7.1531
2005-06-03,6.9632
2005-06-06,7.2286
2005-06-07,7.2827
2005-06-08,6.9458
2005-06-09,7.1136
2005-06-10,7.0189
2005-06-13,7.0251
2005-06-14,6.9158
2005-06-15,6.8276
2005-06-16,6.8932
2005-06-17,6.9642
2005-06-20,7.1232
2005-06-21,7.1516
2005-06-22,7.1878
2005-06-23,7.198
2005-06-24,7.3854
2005-06-27,7.5556
2005-06-28,7.5034
2005-06-29,7.2728
2005-06-30,7.3083
2005-07-01,7.2363
2005-07-05,7.3471
2005-07-06,7.243
2005-07-07,7.3429
2005-07-08,7.36
2005-07-11,7.2885
2005-07-12,7.2495
2005-07-13,7.4254
2005-07-14,7.4758
2005-07-15,7.4833
2005-07-18,7.4423
2005-07-19,7.6997
2005-07-20,7.7518
2005-07-21,7.8
2005-07-22,7.5133
2005-07-25,7.3506
2005-07-26,7.3565
2005-07-27,7.3774
2005-07-28,7.2922
2005-07-29,7.1496
2005-08-01,7.2452
2005-08-02,7.4336
2005-08-03,7.3866
2005-08-04,7.3973
2005-08-05,7.2636
2005-08-08,7.2363
2005-08-09,7.2442
2005-08-10,7.0979
2005-08-11,7.0574
2005-08-12,7.1983
2005-08-15,7.0562
2005-08-16,7.0972
2005-08-17,7.0835
2005-08-18,6.9565
2005-08-19,6.9568
2005-08-22,6.8079
2005-08-23,6.9463
2005-08-24,7.0206
2005-08-25,7.0211
2005-08-26,7.0457
2005-08-29,7.1667
2005-08-30,7.1374
2005-08-31,7.1058
2005-09-01,7.1121
2005-09-02,7.1667
2005-09-06,7.1334
2005-09-07,7.3262
2005-09-08,7.3391
2005-09-09,7.4311
2005-09-12,7.6957
2005-09-13,7.7439
2005-09-14,7.5282
2005-09-15,7.5188
2005-09-16,7.4587
2005-09-19,7.5479
2005-09-20,7.6502
2005-09-21,7.7494
2005-09-22,7.7362
2005-09-23,7.8353
2005-09-26,7.8085
2005-09-27,7.8
2005-09-28,7.6028
2005-09-29,7.6927
2005-09-30,7.8626
2005-10-03,7.9178
2005-10-04,7.727
2005-10-05,7.7198
2005-10-06,7.7705
2005-10-07,7.7764
2005-10-10,7.7183
2005-10-11,7.6052
2005-10-12,7.4778
2005-10-13,7.3901
2005-10-14,7.3578
2005-10-17,7.5779
2005-10-18,7.5352
2005-10-19,7.6698
2005-10-20,7.5332
2005-10-21,8.445
2005-10-24,8.6624
2005-10-25,8.6192
2005-10-26,8.8311
2005-10-27,8.772
2005-10-28,8.899
2005-10-31,9.2461
2005-11-01,9.4259
2005-11-02,9.4334
2005-11-03,9.5892
2005-11-04,9.7005
2005-11-07,9.8148
2005-11-08,9.6873
2005-11-09,9.4202
2005-11-10,9.7171
2005-11-11,9.6997
2005-11-14,9.863
2005-11-15,9.7594
2005-11-16,9.8923
2005-11-17,10.024
2005-11-18,9.9435
2005-11-21,10.1708
2005-11-22,10.3475
2005-11-23,10.5062
2005-11-25,10.6493
2005-11-28,10.5216
2005-11-29,10.0262
2005-11-30,10.0602
2005-12-01,10.2883
2005-12-02,10.378
2005-12-05,10.0836
2005-12-06,10.0511
2005-12-07,10.0431
2005-12-08,10.2029
2005-12-09,10.1668
2005-12-12,10.2516
2005-12-13,10.3728
2005-12-14,10.4093
2005-12-15,10.4985
2005-12-16,10.6873
2005-12-19,10.5495
2005-12-20,10.6772
2005-12-21,10.5924
2005-12-22,10.7343
2005-12-23,10.7067
2005-12-27,10.5504
2005-12-28,10.6014
2005-12-29,10.4389
2005-12-30,10.3075
2006-01-03,10.8136
2006-01-04,11.0623
2006-01-05,11.2113
2006-01-06,11.5696
2006-01-09,11.6004
2006-01-10,11.6715
2006-01-11,11.7179
2006-01-12,11.5192
2006-01-13,11.5843
2006-01-17,11.6056
2006-01-18,11.0541
2006-01-19,10.8439
2006-01-20,9.9248
2006-01-23,10.6215
2006-01-24,11.0074
2006-01-25,10.7582
2006-01-26,10.7897
2006-01-27,10.7703
2006-01-30,10.6046
2006-01-31,10.7497
2006-02-01,9.9825
2006-02-02,9.8399
2006-02-03,9.4798
2006-02-06,9.5681
2006-02-07,9.1412
2006-02-08,9.17
2006-02-09,8.9139
2006-02-10,9.0093
2006-02-13,8.5891
2006-02-14,8.53
2006-02-15,8.5066
2006-02-16,9.1049
2006-02-17,9.1618
2006-02-21,9.1082
2006-02-22,9.0808
2006-02-23,9.3934
2006-02-24,9.3767
2006-02-27,9.6992
2006-02-28,9.0095
2006-03-01,9.0637
2006-03-02,9.3531
2006-03-03,9.3961
2006-03-06,9.1457
2006-03-07,9.055
2006-03-08,8.7924
2006-03-09,8.5221
2006-03-10,8.3854
2006-03-13,8.3745
2006-03-14,8.7248
2006-03-15,8.5593
2006-03-16,8.417
2006-03-17,8.4423
2006-03-20,8.651
2006-03-21,8.4455
2006-03-22,8.453
2006-03-23,8.4945
2006-03-24,9.0885
2006-03-27,9.1852
2006-03-28,9.3718
2006-03-29,9.8135
2006-03-30,9.651
2006-03-31,9.6898
2006-04-03,9.6823
2006-04-04,10.0461
2006-04-05,10.1368
2006-04-06,10.216
2006-04-07,10.0913
2006-04-10,10.3452
2006-04-11,10.1783
2006-04-12,10.1606
2006-04-13,9.9919
2006-04-17,10.1077
2006-04-18,10.0436
2006-04-19,10.1991
2006-04-20,10.3109
2006-04-21,10.86
2006-04-24,10.9445
2006-04-25,10.6131
2006-04-26,10.5835
2006-04-27,10.4359
2006-04-28,10.384
2006-05-01,9.9109
2006-05-02,9.8091
2006-05-03,9.7934
