Date,Price
1986-03-13,0.0599
1986-03-14,0.0621
1986-03-17,0.0632
1986-03-18,0.0616
1986-03-19,0.0605
1986-03-20,0.0589
1986-03-21,0.0573
1986-03-24,0.0557
1986-03-25,0.0567
1986-03-26,0.0583
1986-03-27,0.0594
1986-03-31,0.0589
1986-04-01,0.0583
1986-04-02,0.0589
1986-04-03,0.0594
1986-04-04,0.0594
1986-04-07,0.0583
1986-04-08,0.0589
1986-04-09,0.0599
1986-04-10,0.0605
1986-04-11,0.0616
1986-04-14,0.0621
1986-04-15,0.0621
1986-04-16,0.0642
1986-04-17,0.0648
1986-04-18,0.0626
1986-04-21,0.0626
1986-04-22,0.0616
1986-04-23,0.0618
1986-04-24,0.068
1986-04-25,0.0723
1986-04-28,0.0728
1986-04-29,0.0707
1986-04-30,0.069
1986-05-01,0.068
1986-05-02,0.068
1986-05-05,0.0674
1986-05-06,0.068
1986-05-07,0.068
1986-05-08,0.0685
1986-05-09,0.068
1986-05-12,0.0685
1986-05-13,0.069
1986-05-14,0.0685
1986-05-15,0.0685
1986-05-16,0.069
1986-05-19,0.068
1986-05-20,0.0674
1986-05-21,0.0664
1986-05-22,0.0664
1986-05-23,0.0664
1986-05-27,0.0685
1986-05-28,0.0707
1986-05-29,0.0723
1986-05-30,0.0749
1986-06-02,0.0728
1986-06-03,0.0728
1986-06-04,0.0723
1986-06-05,0.0733
1986-06-06,0.0733
1986-06-09,0.0701
1986-06-10,0.0701
1986-06-11,0.0701
1986-06-12,0.0674
1986-06-13,0.0674
1986-06-16,0.0669
1986-06-17,0.068
1986-06-18,0.0674
1986-06-19,0.0669
1986-06-20,0.0672
1986-06-23,0.068
1986-06-24,0.0674
1986-06-25,0.0664
1986-06-26,0.0642
1986-06-27,0.0637
1986-06-30,0.0658
1986-07-01,0.0658
1986-07-02,0.0658
1986-07-03,0.0669
1986-07-07,0.0642
1986-07-08,0.0626
1986-07-09,0.0599
1986-07-10,0.0583
1986-07-11,0.0599
1986-07-14,0.0591
1986-07-15,0.0599
1986-07-16,0.0621
1986-07-17,0.0632
1986-07-18,0.0637
1986-07-21,0.0637
1986-07-22,0.0658
1986-07-23,0.0642
1986-07-24,0.0664
1986-07-25,0.0669
1986-07-28,0.0653
1986-07-29,0.0637
1986-07-30,0.0616
1986-07-31,0.061
1986-08-01,0.0605
1986-08-04,0.0605
1986-08-05,0.0599
1986-08-06,0.0594
1986-08-07,0.0589
1986-08-08,0.0594
1986-08-11,0.0616
1986-08-12,0.0632
1986-08-13,0.0637
1986-08-14,0.0653
1986-08-15,0.0656
1986-08-18,0.0648
1986-08-19,0.0648
1986-08-20,0.0642
1986-08-21,0.0642
1986-08-22,0.0632
1986-08-25,0.0632
1986-08-26,0.0626
1986-08-27,0.0626
1986-08-28,0.0626
1986-08-29,0.061
1986-09-02,0.0594
1986-09-03,0.0578
1986-09-04,0.0626
1986-09-05,0.0653
1986-09-08,0.0648
1986-09-09,0.0658
1986-09-10,0.0648
1986-09-11,0.0621
1986-09-12,0.0605
1986-09-15,0.0616
1986-09-16,0.0616
1986-09-17,0.0632
1986-09-18,0.0637
1986-09-19,0.0637
1986-09-22,0.0632
1986-09-23,0.0642
1986-09-24,0.0634
1986-09-25,0.0621
1986-09-26,0.0621
1986-09-29,0.0605
1986-09-30,0.0605
1986-10-01,0.0599
1986-10-02,0.0599
1986-10-03,0.0605
1986-10-06,0.0653
1986-10-07,0.0666
1986-10-08,0.0685
1986-10-09,0.0707
1986-10-10,0.0739
1986-10-13,0.0707
1986-10-14,0.0717
1986-10-15,0.0749
1986-10-16,0.0749
1986-10-17,0.0771
1986-10-20,0.0776
1986-10-21,0.0808
1986-10-22,0.0808
1986-10-23,0.0808
1986-10-24,0.0803
1986-10-27,0.083
1986-10-28,0.0848
1986-10-29,0.0824
1986-10-30,0.084
1986-10-31,0.083
1986-11-03,0.0846
1986-11-04,0.0878
1986-11-05,0.0931
1986-11-06,0.0953
1986-11-07,0.0947
1986-11-10,0.091
1986-11-11,0.0915
1986-11-12,0.0915
1986-11-13,0.0902
1986-11-14,0.091
1986-11-17,0.0915
1986-11-18,0.0867
1986-11-19,0.0899
1986-11-20,0.0969
1986-11-21,0.1001
1986-11-24,0.1081
1986-11-25,0.1092
1986-11-26,0.1081
1986-11-28,0.1065
1986-12-01,0.1044
1986-12-02,0.1049
1986-12-03,0.1041
1986-12-04,0.1054
1986-12-05,0.1049
1986-12-08,0.1038
1986-12-09,0.1033
1986-12-10,0.1041
1986-12-11,0.1049
1986-12-12,0.1012
1986-12-15,0.0985
1986-12-16,0.0996
1986-12-17,0.1006
1986-12-18,0.1014
1986-12-19,0.1038
1986-12-22,0.1049
1986-12-23,0.106
1986-12-24,0.1057
1986-12-26,0.1054
1986-12-29,0.1012
1986-12-30,0.1022
1986-12-31,0.1033
1987-01-02,0.1022
1987-01-05,0.1081
1987-01-06,0.1097
1987-01-07,0.1156
1987-01-08,0.1194
1987-01-09,0.1242
1987-01-12,0.1322
1987-01-13,0.1285
1987-01-14,0.1285
1987-01-15,0.1354
1987-01-16,0.1322
1987-01-19,0.137
1987-01-20,0.1392
1987-01-21,0.145
1987-01-22,0.1595
1987-01-23,0.1445
1987-01-26,0.1472
1987-01-27,0.1531
1987-01-28,0.1536
1987-01-29,0.1472
1987-01-30,0.1566
1987-02-02,0.1563
1987-02-03,0.1536
1987-02-04,0.1541
1987-02-05,0.1531
1987-02-06,0.1475
1987-02-09,0.1461
1987-02-10,0.1467
