Date,NASDAQ
1971-02-05,100.0
1971-02-08,100.8
1971-02-09,100.8
1971-02-10,100.7
1971-02-11,101.4
1971-02-12,102.1
1971-02-16,102.2
1971-02-17,101.7
1971-02-18,101.4
1971-02-19,100.7
1971-02-22,99.7
1971-02-23,99.7
1971-02-24,100.6
1971-02-25,101.2
1971-02-26,101.3
1971-03-01,101.8
1971-03-02,101.8
1971-03-03,102.1
1971-03-04,102.8
1971-03-05,103.0
1971-03-08,104.2
1971-03-09,104.4
1971-03-10,104.1
1971-03-11,104.3
1971-03-12,104.5
1971-03-15,105.1
1971-03-16,105.6
1971-03-17,105.5
1971-03-18,105.9
1971-03-19,105.8
1971-03-22,105.4
1971-03-23,105.1
1971-03-24,104.7
1971-03-25,104.6
1971-03-26,105.1
1971-03-29,105.2
1971-03-30,105.4
1971-03-31,106.0
1971-04-01,106.3
1971-04-02,106.9
1971-04-05,107.2
1971-04-06,107.6
1971-04-07,108.1
1971-04-08,108.4
1971-04-12,108.9
1971-04-13,108.8
1971-04-14,109.1
1971-04-15,109.7
1971-04-16,110.0
1971-04-19,110.2
1971-04-20,109.5
1971-04-21,109.5
1971-04-22,110.0
1971-04-23,110.7
1971-04-26,111.1
1971-04-27,111.7
1971-04-28,112.4
1971-04-29,112.5
1971-04-30,112.3
1971-05-03,111.3
1971-05-04,111.8
1971-05-05,111.7
1971-05-06,111.1
1971-05-07,110.7
1971-05-10,110.2
1971-05-11,110.3
1971-05-12,110.4
1971-05-13,110.6
1971-05-14,110.7
1971-05-17,109.2
1971-05-18,108.4
1971-05-19,108.3
1971-05-20,108.7
1971-05-21,108.8
1971-05-24,108.4
1971-05-25,107.5
1971-05-26,107.5
1971-05-27,107.6
1971-05-28,108.2
1971-06-01,108.9
1971-06-02,109.6
1971-06-03,110.2
1971-06-04,110.7
1971-06-07,110.8
1971-06-08,110.0
1971-06-09,109.8
1971-06-10,110.1
1971-06-11,110.2
1971-06-14,109.6
1971-06-15,109.4
1971-06-16,109.4
1971-06-17,109.4
1971-06-18,108.2
1971-06-21,106.5
1971-06-22,105.5
1971-06-23,106.0
1971-06-24,106.4
1971-06-25,106.6
1971-06-28,106.4
1971-06-29,107.2
1971-06-30,107.8
1971-07-01,108.5
1971-07-02,108.8
1971-07-06,109.2
1971-07-07,110.0
1971-07-08,110.4
1971-07-09,110.9
1971-07-12,111.2
1971-07-13,110.8
1971-07-14,110.3
1971-07-15,110.7
1971-07-16,110.0
1971-07-19,109.4
1971-07-20,109.8
1971-07-21,109.7
1971-07-22,109.5
1971-07-23,109.6
1971-07-26,109.3
1971-07-27,108.6
1971-07-28,107.4
1971-07-29,105.8
1971-07-30,105.3
1971-08-02,105.6
1971-08-03,104.4
1971-08-04,103.3
1971-08-05,103.1
1971-08-06,103.8
1971-08-09,103.2
1971-08-10,103.0
1971-08-11,104.1
1971-08-12,105.2
1971-08-13,105.4
1971-08-16,107.9
1971-08-17,108.9
1971-08-18,108.4
1971-08-19,108.0
1971-08-20,107.9
1971-08-23,108.3
1971-08-24,108.6
1971-08-25,108.8
1971-08-26,109.0
1971-08-27,109.3
1971-08-30,108.7
1971-08-31,108.4
1971-09-01,108.7
1971-09-02,109.0
1971-09-03,110.0
1971-09-07,110.5
1971-09-08,110.6
1971-09-09,110.6
1971-09-10,110.4
1971-09-13,110.2
1971-09-14,109.8
1971-09-15,109.8
1971-09-16,109.8
1971-09-17,110.1
1971-09-20,110.0
1971-09-21,109.8
1971-09-22,109.0
1971-09-23,108.8
1971-09-24,108.9
1971-09-27,108.2
1971-09-28,108.4
1971-09-29,108.6
1971-09-30,109.0
1971-10-01,109.6
1971-10-04,110.0
1971-10-05,110.0
1971-10-06,110.7
1971-10-07,111.0
1971-10-08,110.7
1971-10-11,110.7
1971-10-12,110.9
1971-10-13,110.7
1971-10-14,109.9
1971-10-15,109.6
1971-10-18,109.1
1971-10-19,108.0
1971-10-20,106.6
1971-10-21,106.6
1971-10-22,106.8
1971-10-25,106.3
1971-10-26,105.7
1971-10-27,104.3
1971-10-28,104.5
1971-10-29,105.1
1971-11-01,103.7
1971-11-02,103.5
1971-11-03,105.0
1971-11-04,105.6
1971-11-05,105.5
1971-11-08,105.4
1971-11-09,105.7
1971-11-10,104.9
1971-11-11,103.7
1971-11-12,103.9
1971-11-15,103.4
1971-11-16,103.7
1971-11-17,103.6
1971-11-18,103.4
1971-11-19,102.9
1971-11-22,101.8
1971-11-23,100.3
1971-11-24,100.4
1971-11-26,101.6
1971-11-29,103.1
1971-11-30,104.0
1971-12-01,105.0
1971-12-02,106.2
1971-12-03,107.3
1971-12-06,106.9
1971-12-07,107.3
1971-12-08,107.7
1971-12-09,108.0
1971-12-10,108.8
1971-12-13,109.2
1971-12-14,109.1
1971-12-15,109.4
1971-12-16,110.0
1971-12-17,110.5
1971-12-20,111.5
1971-12-21,111.7
1971-12-22,112.0
1971-12-23,111.9
1971-12-27,111.7
1971-12-28,111.9
1971-12-29,112.6
1971-12-30,113.0
1971-12-31,114.1
1972-01-03,113.7
1972-01-04,113.9
1972-01-05,114.8
1972-01-06,115.7
1972-01-07,116.1
1972-01-10,116.1
1972-01-11,116.6
1972-01-12,116.9
1972-01-13,116.4
1972-01-14,116.7
1972-01-17,116.9
1972-01-18,117.7
1972-01-19,117.4
1972-01-20,117.3
1972-01-21,117.2
1972-01-24,116.5
1972-01-25,116.3
1972-01-26,116.4
1972-01-27,117.4
1972-01-28,118.4
1972-01-31,118.9
1972-02-01,119.6
1972-02-02,120.5
1972-02-03,120.7
1972-02-04,121.2
1972-02-07,121.1
1972-02-08,121.3
1972-02-09,122.2
1972-02-10,122.7
1972-02-11,122.9
1972-02-14,122.3
1972-02-15,122.6
1972-02-16,123.3
1972-02-17,123.4
1972-02-18,123.4
1972-02-22,123.3
1972-02-23,123.6
1972-02-24,124.0
1972-02-25,124.8
1972-02-28,124.9
1972-02-29,125.4
1972-03-01,126.3
1972-03-02,126.6
1972-03-03,127.2
1972-03-06,127.9
1972-03-07,127.8
1972-03-08,128.4
1972-03-09,128.9
1972-03-10,128.6
1972-03-13,127.3
1972-03-14,127.7
1972-03-15,128.1
1972-03-16,127.8
1972-03-17,128.0
1972-03-20,127.5
1972-03-21,125.7
1972-03-22,126.4
1972-03-23,127.4
1972-03-24,127.6
1972-03-27,127.6
1972-03-28,127.7
1972-03-29,127.5
1972-03-30,128.1
1972-04-03,128.1
1972-04-04,128.8
1972-04-05,130.0
1972-04-06,130.9
1972-04-07,131.8
