Date,SP500
1950-01-03,16.7
1950-01-04,16.9
1950-01-05,16.9
1950-01-06,17.0
1950-01-09,17.1
1950-01-10,17.0
1950-01-11,17.1
1950-01-12,16.8
1950-01-13,16.7
1950-01-16,16.7
1950-01-17,16.9
1950-01-18,16.9
1950-01-19,16.9
1950-01-20,16.9
1950-01-23,16.9
1950-01-24,16.9
1950-01-25,16.7
1950-01-26,16.7
1950-01-27,16.8
1950-01-30,17.0
1950-01-31,17.0
1950-02-01,17.0
1950-02-02,17.2
1950-02-03,17.3
1950-02-06,17.3
1950-02-07,17.2
1950-02-08,17.2
1950-02-09,17.3
1950-02-10,17.2
1950-02-14,17.1
1950-02-15,17.1
1950-02-16,17.0
1950-02-17,17.1
1950-02-20,17.2
1950-02-21,17.2
1950-02-23,17.2
1950-02-24,17.3
1950-02-27,17.3
1950-02-28,17.2
1950-03-01,17.2
1950-03-02,17.2
1950-03-03,17.3
1950-03-06,17.3
1950-03-07,17.2
1950-03-08,17.2
1950-03-09,17.1
1950-03-10,17.1
1950-03-13,17.1
1950-03-14,17.2
1950-03-15,17.5
1950-03-16,17.5
1950-03-17,17.5
1950-03-20,17.4
1950-03-21,17.5
1950-03-22,17.5
1950-03-23,17.6
1950-03-24,17.6
1950-03-27,17.5
1950-03-28,17.5
1950-03-29,17.4
1950-03-30,17.3
1950-03-31,17.3
1950-04-03,17.5
1950-04-04,17.5
1950-04-05,17.6
1950-04-06,17.8
1950-04-10,17.9
1950-04-11,17.8
1950-04-12,17.9
1950-04-13,18.0
1950-04-14,18.0
1950-04-17,17.9
1950-04-18,18.0
1950-04-19,18.0
1950-04-20,17.9
1950-04-21,18.0
1950-04-24,17.8
1950-04-25,17.8
1950-04-26,17.8
1950-04-27,17.9
1950-04-28,18.0
1950-05-01,18.2
1950-05-02,18.1
1950-05-03,18.3
1950-05-04,18.1
1950-05-05,18.2
1950-05-08,18.3
1950-05-09,18.3
1950-05-10,18.3
1950-05-11,18.3
1950-05-12,18.2
1950-05-15,18.3
1950-05-16,18.4
1950-05-17,18.5
1950-05-18,18.6
1950-05-19,18.7
1950-05-22,18.6
1950-05-23,18.7
1950-05-24,18.7
1950-05-25,18.7
1950-05-26,18.7
1950-05-29,18.7
1950-05-31,18.8
1950-06-01,18.8
1950-06-02,18.8
1950-06-05,18.6
1950-06-06,18.9
1950-06-07,18.9
1950-06-08,19.1
1950-06-09,19.3
1950-06-12,19.4
1950-06-13,19.2
1950-06-14,19.0
1950-06-15,18.9
1950-06-16,19.0
1950-06-19,18.9
1950-06-20,18.8
1950-06-21,19.0
1950-06-22,19.2
1950-06-23,19.1
1950-06-26,18.1
1950-06-27,17.9
1950-06-28,18.1
1950-06-29,17.4
1950-06-30,17.7
1950-07-03,17.6
1950-07-05,17.8
1950-07-06,17.9
1950-07-07,17.7
1950-07-10,17.6
1950-07-11,17.3
1950-07-12,16.9
1950-07-13,16.7
1950-07-14,16.9
1950-07-17,16.7
1950-07-18,17.1
1950-07-19,17.4
1950-07-20,17.6
1950-07-21,17.6
1950-07-24,17.5
1950-07-25,17.2
1950-07-26,17.3
1950-07-27,17.5
1950-07-28,17.7
1950-07-31,17.8
1950-08-01,18.0
1950-08-02,18.0
1950-08-03,18.0
1950-08-04,18.1
1950-08-07,18.4
1950-08-08,18.5
1950-08-09,18.6
1950-08-10,18.5
1950-08-11,18.3
1950-08-14,18.3
1950-08-15,18.3
1950-08-16,18.3
1950-08-17,18.5
1950-08-18,18.7
1950-08-21,18.7
1950-08-22,18.7
1950-08-23,18.8
1950-08-24,18.8
1950-08-25,18.5
1950-08-28,18.5
1950-08-29,18.5
1950-08-30,18.4
1950-08-31,18.4
1950-09-01,18.5
1950-09-05,18.7
1950-09-06,18.5
1950-09-07,18.6
1950-09-08,18.8
1950-09-11,18.6
1950-09-12,18.9
1950-09-13,19.1
1950-09-14,19.2
1950-09-15,19.3
1950-09-18,19.4
1950-09-19,19.3
1950-09-20,19.2
1950-09-21,19.4
1950-09-22,19.4
1950-09-25,19.4
1950-09-26,19.1
1950-09-27,19.4
1950-09-28,19.4
1950-09-29,19.5
1950-10-02,19.7
1950-10-03,19.7
1950-10-04,20.0
1950-10-05,19.9
1950-10-06,20.1
1950-10-09,20.0
1950-10-10,19.8
1950-10-11,19.9
1950-10-13,19.9
1950-10-16,19.7
1950-10-17,19.9
1950-10-18,20.0
1950-10-19,20.0
1950-10-20,20.0
1950-10-23,20.0
1950-10-24,20.1
1950-10-25,20.0
1950-10-26,19.6
1950-10-27,19.8
1950-10-30,19.6
1950-10-31,19.5
1950-11-01,19.6
1950-11-02,19.7
1950-11-03,19.9
1950-11-06,19.4
1950-11-08,19.6
1950-11-09,19.8
1950-11-10,19.9
1950-11-13,20.0
1950-11-14,19.9
1950-11-15,19.8
1950-11-16,19.7
1950-11-17,19.9
1950-11-20,19.9
1950-11-21,19.9
1950-11-22,20.2
1950-11-24,20.3
1950-11-27,20.2
1950-11-28,19.6
1950-11-29,19.4
1950-11-30,19.5
1950-12-01,19.7
1950-12-04,19.0
1950-12-05,19.3
