Date	Ticker	Price
2020-01-02	DJIA	28868.8
2020-01-02	SP500	3257.9
2020-01-02	NASDAQ	9092.2
2020-01-03	DJIA	28634.9
2020-01-03	SP500	3234.9
2020-01-03	NASDAQ	9020.8
2020-01-06	DJIA	28703.4
2020-01-06	SP500	3246.3
2020-01-06	NASDAQ	9071.5
2020-01-07	DJIA	28583.7
2020-01-07	SP500	3237.2
2020-01-07	NASDAQ	9068.6
2020-01-08	DJIA	28745.1
2020-01-08	SP500	3253.1
2020-01-08	NASDAQ	9129.2
2020-01-09	DJIA	28956.9
2020-01-09	SP500	3274.7
2020-01-09	NASDAQ	9203.4
2020-01-10	DJIA	28823.8
2020-01-10	SP500	3265.4
2020-01-10	NASDAQ	9178.9
2020-01-13	DJIA	28907.1
2020-01-13	SP500	3288.1
2020-01-13	NASDAQ	9273.9
2020-01-14	DJIA	28939.7
2020-01-14	SP500	3283.1
2020-01-14	NASDAQ	9251.3
2020-01-15	DJIA	29030.2
2020-01-15	SP500	3289.3
2020-01-15	NASDAQ	9258.7
2020-01-16	DJIA	29297.6
2020-01-16	SP500	3316.8
2020-01-16	NASDAQ	9357.1
2020-01-17	DJIA	29348.1
2020-01-17	SP500	3329.6
2020-01-17	NASDAQ	9388.9
2020-01-21	DJIA	29196.0
2020-01-21	SP500	3320.8
2020-01-21	NASDAQ	9370.8
2020-01-22	DJIA	29186.3
2020-01-22	SP500	3321.8
2020-01-22	NASDAQ	9383.8
2020-01-23	DJIA	29160.1
2020-01-23	SP500	3325.5
2020-01-23	NASDAQ	9402.5
2020-01-24	DJIA	28989.7
2020-01-24	SP500	3295.5
2020-01-24	NASDAQ	9314.9
2020-01-27	DJIA	28535.8
2020-01-27	SP500	3243.6
2020-01-27	NASDAQ	9139.3
2020-01-28	DJIA	28722.8
2020-01-28	SP500	3276.2
2020-01-28	NASDAQ	9269.7
2020-01-29	DJIA	28734.4
2020-01-29	SP500	3273.4
2020-01-29	NASDAQ	9275.2
2020-01-30	DJIA	28859.4
2020-01-30	SP500	3283.7
2020-01-30	NASDAQ	9298.9
2020-01-31	DJIA	28256.0
2020-01-31	SP500	3225.5
2020-01-31	NASDAQ	9150.9
2020-02-03	DJIA	28399.8
2020-02-03	SP500	3248.9
2020-02-03	NASDAQ	9273.4
2020-02-04	DJIA	28807.6
2020-02-04	SP500	3297.6
2020-02-04	NASDAQ	9468.0
2020-02-05	DJIA	29290.8
2020-02-05	SP500	3334.7
2020-02-05	NASDAQ	9508.7
2020-02-06	DJIA	29379.8
2020-02-06	SP500	3345.8
2020-02-06	NASDAQ	9572.2
2020-02-07	DJIA	29102.5
2020-02-07	SP500	3327.7
2020-02-07	NASDAQ	9520.5
2020-02-10	DJIA	29276.8
2020-02-10	SP500	3352.1
2020-02-10	NASDAQ	9628.4
2020-02-11	DJIA	29276.3
2020-02-11	SP500	3357.8
2020-02-11	NASDAQ	9638.9
2020-02-12	DJIA	29551.4
2020-02-12	SP500	3379.4
2020-02-12	NASDAQ	9726.0
2020-02-13	DJIA	29423.3
2020-02-13	SP500	3373.9
2020-02-13	NASDAQ	9712.0
2020-02-14	DJIA	29398.1
2020-02-14	SP500	3380.2
2020-02-14	NASDAQ	9731.2
2020-02-18	DJIA	29232.2
2020-02-18	SP500	3370.3
2020-02-18	NASDAQ	9732.7
2020-02-19	DJIA	29348.0
2020-02-19	SP500	3386.1
2020-02-19	NASDAQ	9817.2
2020-02-20	DJIA	29220.0
2020-02-20	SP500	3373.2
2020-02-20	NASDAQ	9751.0
2020-02-21	DJIA	28992.4
2020-02-21	SP500	3337.8
2020-02-21	NASDAQ	9576.6
2020-02-24	DJIA	27960.8
2020-02-24	SP500	3225.9
2020-02-24	NASDAQ	9221.3
2020-02-25	DJIA	27081.4
2020-02-25	SP500	3128.2
2020-02-25	NASDAQ	8965.6
2020-02-26	DJIA	26957.6
2020-02-26	SP500	3116.4
2020-02-26	NASDAQ	8980.8
2020-02-27	DJIA	25766.6
2020-02-27	SP500	2978.8
2020-02-27	NASDAQ	8566.5
2020-02-28	DJIA	25409.4
2020-02-28	SP500	2954.2
2020-02-28	NASDAQ	8567.4
2020-03-02	DJIA	26703.3
2020-03-02	SP500	3090.2
2020-03-02	NASDAQ	8952.2
2020-03-03	DJIA	25917.4
2020-03-03	SP500	3003.4
2020-03-03	NASDAQ	8684.1
2020-03-04	DJIA	27090.9
2020-03-04	SP500	3130.1
2020-03-04	NASDAQ	9018.1
2020-03-05	DJIA	26121.3
2020-03-05	SP500	3023.9
2020-03-05	NASDAQ	8738.6
2020-03-06	DJIA	25864.8
2020-03-06	SP500	2972.4
2020-03-06	NASDAQ	8575.6
2020-03-09	DJIA	23851.0
2020-03-09	SP500	2746.6
2020-03-09	NASDAQ	7950.7
2020-03-10	DJIA	25018.2
2020-03-10	SP500	2882.2
2020-03-10	NASDAQ	8344.2
2020-03-11	DJIA	23553.2
2020-03-11	SP500	2741.4
2020-03-11	NASDAQ	7952.0
